row_index,season,window,transfer_type,player_name,player_url,team_name,club_2,country_2,league_2,country,league,transfer_fee,is_loan,transfer_notes,why_missing
9171,2015,Winter,Departures,Gabriel Abraham,https://www.transfermarkt.com/gabriel-abraham/profil/spieler/81467,FC Dinamo 1948,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
9172,2015,Winter,Departures,Antonio Ghomsi,https://www.transfermarkt.com/antonio-ghomsi/profil/spieler/21924,FC Dinamo 1948,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
9213,2015,Summer,Departures,Henrique,https://www.transfermarkt.com/henrique/profil/spieler/101197,FCV Farul Constanta,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
9214,2015,Summer,Departures,George Șerban,https://www.transfermarkt.com/george-serban/profil/spieler/186549,FCV Farul Constanta,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
9215,2015,Summer,Departures,Cătălin Munteanu,https://www.transfermarkt.com/catalin-munteanu/profil/spieler/16615,FCV Farul Constanta,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
9542,2015,Winter,Departures,Dinu Todoran,https://www.transfermarkt.com/dinu-todoran/profil/spieler/46666,FC Voluntari,,,,Romania,Liga 2,,False,-,club_2 is empty/null
9543,2015,Winter,Departures,Florin Maxim,https://www.transfermarkt.com/florin-maxim/profil/spieler/48768,FC Voluntari,,,,Romania,Liga 2,,False,-,club_2 is empty/null
9656,2015,Summer,Departures,Marian Petre,https://www.transfermarkt.com/marian-petre/profil/spieler/309002,Petrolul Ploiesti,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
9721,2015,Summer,Departures,Silviu Balace,https://www.transfermarkt.com/silviu-balace/profil/spieler/47867,ACS Poli Timisoara (2012 - 2021),,,,,,,False,-,club_2 is empty/null
9722,2015,Summer,Departures,Ovidiu Petre,https://www.transfermarkt.com/ovidiu-petre/profil/spieler/9762,ACS Poli Timisoara (2012 - 2021),,,,,,,False,-,club_2 is empty/null
9767,2015,Summer,Departures,Adrian Olah,https://www.transfermarkt.com/adrian-olah/profil/spieler/25938,ACSM Politehnica Iasi,,,,Romania,Liga 2,,False,-,club_2 is empty/null
9885,2016,Summer,Departures,Denis Lemac,https://www.transfermarkt.com/denis-lemac/profil/spieler/220921,FC Dinamo 1948,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
10036,2016,Summer,Departures,Valentin Iliev,https://www.transfermarkt.com/valentin-iliev/profil/spieler/35259,CS Universitatea Craiova,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
10139,2016,Winter,Departures,Claudiu Voiculet,https://www.transfermarkt.com/claudiu-voiculet/profil/spieler/46679,Pandurii Targu Jiu (- 2022),,,,,,,False,-,club_2 is empty/null
10168,2016,Summer,Departures,Sergiu Muth,https://www.transfermarkt.com/sergiu-muth/profil/spieler/96848,Gaz Metan Medias (- 2022),,,,,,,False,-,club_2 is empty/null
10282,2016,Winter,Departures,Adrian Cristea,https://www.transfermarkt.com/adrian-cristea/profil/spieler/33440,Concordia Chiajna,,,,Romania,Liga 2,,False,-,club_2 is empty/null
